env,learning_rate,bias,mean_ht,std_ht
healthy,0.4,0.0,0.33817422227372196,0.04907952087163245
healthy,0.4,0.1,0.36645715125000106,0.04854106930889846
healthy,0.4,0.2,0.39390271995204906,0.049464838259324545
healthy,0.4,0.3,0.42228470768746745,0.05160571474883067
healthy,0.4,0.4,0.450206266627718,0.052959787733145934
healthy,0.4,0.5,0.4783699014267979,0.05063605238904793
healthy,0.4,0.6,0.5068397927813116,0.05410609852629824
healthy,0.4,0.7,0.53410772631462,0.051704320267314634
healthy,0.4,0.8,0.5630330964308893,0.05373195456023221
healthy,0.4,0.9,0.5905327065384522,0.05695279528986482
healthy,0.4,1.0,0.6183283546502273,0.05503227220087669
healthy,0.5,0.0,0.3371527382836634,0.04628713674831609
healthy,0.5,0.1,0.3653448339113868,0.04870671219129423
healthy,0.5,0.2,0.3938804049072245,0.05261823263289837
healthy,0.5,0.3,0.4221395859337314,0.05208643352790737
healthy,0.5,0.4,0.45018251133005077,0.0517470930491784
healthy,0.5,0.5,0.4785470984941304,0.05196817324170816
healthy,0.5,0.6,0.5066588940827356,0.05250880728738195
healthy,0.5,0.7,0.5346944098533358,0.054857917862068506
healthy,0.5,0.8,0.5636545065356522,0.05418888711564771
healthy,0.5,0.9,0.5917530364826992,0.058318658133917164
healthy,0.5,1.0,0.61881103429837,0.06055816447790751
healthy,0.6,0.0,0.3369793260813696,0.048305994526354076
healthy,0.6,0.1,0.3664516355994407,0.04954890363190459
healthy,0.6,0.2,0.3937257355812834,0.04857143604496858
healthy,0.6,0.3,0.4219128066745011,0.05178052347780019
healthy,0.6,0.4,0.4500095345520259,0.050433152542903883
healthy,0.6,0.5,0.4784353404703476,0.0515827158347915
healthy,0.6,0.6,0.5066499311788887,0.05470634142261546
healthy,0.6,0.7,0.5348748209284095,0.051580029750861955
healthy,0.6,0.8,0.5627026447166186,0.05879680063691056
healthy,0.6,0.9,0.5904459954463276,0.05615963699573032
healthy,0.6,1.0,0.6185293066583807,0.05738479940865985
healthy,0.7,0.0,0.33739155367656476,0.048141693834549304
healthy,0.7,0.1,0.3667195952946667,0.04888292466075355
healthy,0.7,0.2,0.39358578707502767,0.04965129703456731
healthy,0.7,0.3,0.42201759574244385,0.049100411672223926
healthy,0.7,0.4,0.45005135042933736,0.04957796077084342
healthy,0.7,0.5,0.47826193796912064,0.05079594548637167
healthy,0.7,0.6,0.506446491960276,0.05460290788490795
healthy,0.7,0.7,0.5350285613317028,0.051924375332092355
healthy,0.7,0.8,0.5629488066480325,0.05600565962058804
healthy,0.7,0.9,0.5913734418539778,0.0546685834363924
healthy,0.7,1.0,0.6196151192074201,0.05691462813091887
healthy,0.8,0.0,0.3380186152030269,0.048459111452012815
healthy,0.8,0.1,0.36561692001435625,0.04976702645376455
healthy,0.8,0.2,0.3935601531507297,0.04898143088166873
healthy,0.8,0.3,0.42190801669642597,0.047976080457697676
healthy,0.8,0.4,0.4501624618081946,0.05164106402925471
healthy,0.8,0.5,0.4782231485286672,0.045744969936536116
healthy,0.8,0.6,0.5071090995233598,0.054494935880212515
healthy,0.8,0.7,0.5354661101846382,0.05475534191395549
healthy,0.8,0.8,0.562610674101816,0.05269977672172992
healthy,0.8,0.9,0.5925682996666713,0.056025506874261964
healthy,0.8,1.0,0.6192737756194884,0.057461267196899375
healthy,0.9,0.0,0.3364921838579266,0.05046110041683465
healthy,0.9,0.1,0.3655375146741396,0.04908953440729432
healthy,0.9,0.2,0.39390201922666623,0.04847616920937694
healthy,0.9,0.3,0.42168588235324916,0.050222316796282016
healthy,0.9,0.4,0.45022462604466157,0.05015466516532054
healthy,0.9,0.5,0.4783026666538208,0.04965310214517977
healthy,0.9,0.6,0.5066243804656376,0.053190027854473146
healthy,0.9,0.7,0.5352695778787896,0.053852377855975256
healthy,0.9,0.8,0.5632537278438784,0.05586612191298904
healthy,0.9,0.9,0.5911349971805105,0.057802376576118426
healthy,0.9,1.0,0.6211540688040108,0.05809502457368663
healthy,1.0,0.0,0.3358912364291353,0.04877321640774379
healthy,1.0,0.1,0.36574921869393323,0.047556462382544025
healthy,1.0,0.2,0.3938882668441446,0.04827971085259395
healthy,1.0,0.3,0.4220341293233162,0.048722507001290535
healthy,1.0,0.4,0.4504262845809157,0.053130234189334144
healthy,1.0,0.5,0.4784128867428986,0.04946935623237535
healthy,1.0,0.6,0.5066857831716601,0.05061737955082849
healthy,1.0,0.7,0.5348805932200547,0.05040998347015579
healthy,1.0,0.8,0.5624686475230802,0.05442562622862188
healthy,1.0,0.9,0.5910754235203348,0.05605776329199263
healthy,1.0,1.0,0.6204376908535699,0.0586330652432576
unhealthy,0.0,0.0,0.4966727520466599,0.14489214716498683
unhealthy,0.0,0.1,0.49723121375137963,0.15678857882878938
unhealthy,0.0,0.2,0.5044809271494729,0.15392504029380719
unhealthy,0.0,0.3,0.5041843126836303,0.15674661001087525
unhealthy,0.0,0.4,0.5073145824215728,0.151608550554265
unhealthy,0.0,0.5,0.5027664646014712,0.15103555685746342
