bootstrap,env,bias,mae_base,w_ht,w_hn,w_ut,w_un,mae_full,delta_mae_full
11,healthy,0.83,0.1638006023898063,0.2992056487202118,0.3971756398940865,0.1028243601059135,0.2007943512797881,0.1797523075515546,0.0159517051617482
11,unhealthy,0.86,0.1823953790008759,0.1278814489571899,0.1278814489571899,0.37211855104281,0.37211855104281,0.1917308687968355,0.0093354897959595
11,balanced,0.05,0.1392214847991828,0.3617363344051447,0.3617363344051447,0.0936495176848874,0.1828778135048231,0.1424019804637753,0.0031804956645925
12,healthy,0.98,0.1483675115871077,0.3068530514831231,0.0794408455506307,0.3068530514831231,0.3068530514831231,0.1698613480469883,0.0214938364598806
12,unhealthy,0.97,0.1668557398703479,0.0794408455506307,0.3068530514831231,0.3068530514831231,0.3068530514831231,0.2010677492122001,0.0342120093418521
12,balanced,0.02,0.1066955407719065,0.424015009380863,0.2845528455284553,0.1457160725453408,0.1457160725453408,0.1180636036003427,0.0113680628284361
13,healthy,0.9,0.144464304785415,0.3319808188860199,0.16783474732571,0.2500922168941349,0.2500922168941349,0.1808574506928384,0.0363931459074233
13,unhealthy,0.92,0.1618528146469735,0.3971756398940864,0.2992056487202117,0.2992056487202117,0.0044130626654898,0.1798177094123932,0.0179648947654197
13,balanced,0.23,0.1409072216291917,0.1028243601059135,0.2992056487202118,0.2007943512797881,0.3971756398940865,0.1291056391723423,-0.0118015824568493
14,healthy,1.0,0.1528497596209408,0.2019064124783362,0.0086655112651646,0.2019064124783362,0.587521663778163,0.1639474858319885,0.0110977262110476
14,unhealthy,1.0,0.1479604122277044,0.3971756398940864,0.2992056487202117,0.2992056487202117,0.0044130626654898,0.1411019763524737,-0.0068584358752306
14,balanced,0.51,0.1201649636579335,0.2019064124783362,0.2019064124783362,0.2019064124783362,0.3942807625649913,0.1351110705123461,0.0149461068544125
15,healthy,0.93,0.1890897922077766,0.250092216894135,0.0859461453338251,0.3319808188860199,0.3319808188860199,0.1820486883039341,-0.0070411039038424
15,unhealthy,1.0,0.1511112673549508,0.1828778135048231,0.1828778135048231,0.3617363344051446,0.272508038585209,0.1657071370592587,0.0145958697043079
15,balanced,0.08,0.1013495278394707,0.250092216894135,0.16783474732571,0.3319808188860199,0.250092216894135,0.1343354702027217,0.032985942363251
16,healthy,1.0,0.1262119602641163,0.3068530514831231,0.231162632117286,0.1551312649164677,0.3068530514831231,0.1494684953600869,0.0232565350959706
16,unhealthy,0.9,0.1465583746081376,0.0040192926045016,0.3617363344051447,0.272508038585209,0.3617363344051447,0.1603584153350263,0.0138000407268887
16,balanced,0.0,0.1148367995892843,0.1828778135048231,0.3617363344051446,0.0936495176848874,0.3617363344051446,0.1542907280538854,0.0394539284646011
17,healthy,1.0,0.148620671736811,0.2992056487202118,0.1028243601059135,0.2007943512797881,0.3971756398940865,0.1899571087650033,0.0413364370281922
17,unhealthy,0.79,0.1720323638369253,0.3319808188860199,0.250092216894135,0.3319808188860199,0.0859461453338251,0.1810860818785476,0.0090537180416222
17,balanced,0.06,0.1128103331270049,0.0062578222778473,0.2847309136420525,0.1458072590738423,0.5632040050062578,0.1242230400372188,0.0114127069102139
18,healthy,1.0,0.1820695585454852,0.3617363344051446,0.1828778135048231,0.0936495176848874,0.3617363344051446,0.2020087738672509,0.0199392153217657
18,unhealthy,1.0,0.1342996176007619,0.231162632117286,0.3068530514831231,0.3068530514831231,0.1551312649164677,0.1565710103044184,0.0222713927036564
18,balanced,0.11,0.1031185511391675,0.250092216894135,0.16783474732571,0.250092216894135,0.3319808188860199,0.1271864951852344,0.0240679440460669
19,healthy,1.0,0.1422903587840242,0.3319808188860199,0.250092216894135,0.0859461453338251,0.3319808188860199,0.1681469348806192,0.0258565760965949
19,unhealthy,0.87,0.1666212335950565,0.0048947626040137,0.4405286343612334,0.2227116984826236,0.3318649045521292,0.1398496842211683,-0.0267715493738881
19,balanced,0.08,0.1337648665531973,0.3319808188860199,0.16783474732571,0.2500922168941349,0.2500922168941349,0.1500195359819842,0.0162546694287868
20,healthy,0.89,0.1585573014369483,0.3067484662576686,0.231083844580777,0.231083844580777,0.231083844580777,0.1795279220596096,0.0209706206226612
